"ParokiID","KeuskupanID","NoParoki","NamaParoki","NamaGereja","AlamatParoki","KotaParoki","TeleponParoki","FaxParoki","WebsiteParoki","EmailParoki","PastorParoki","WilayahKeuskupan"
"010.017","010",17,"Wamena","Kristus Jaya","Pastoran Katolik Kristus Jaya, Wamena, Jl Jawa, Ktk Pos 125,","Wamena","0969-31728","","","","-",""
"010.018","010",18,"Waris","St. Mikael","Pastoran Katolik St Mikael, Waris d/a Kantor Keusk.Jayapura, Jl Kesehatan No.6, Ktk Pos 1379,","Jayapura","","","","","-",""
"010.019","010",19,"Yiwika","Kristus Terang Dunia","Pastoran Katolik Kristus Terang Dunia, Yiwika d/a  Dknt Jayawijaya Jl Jawa, Ktk Pos 125,","Wamena","","","","","-",""
"010.020","010",20,"Iwur","Kristus Bangkit","Pastoran Kristus Bangkit Iwur, via AMA Sentani, Tromol Pos 2","Sentani.","","","","","-",""
"010.021","010",21,"Oklip","St. Petrus","Pastoran Katolik St Petrus, Oklip Via AMA Sentani, Tromol Pos 2,","Sentani","","","","","-",""
"010.022","010",22,"Kotaraja","Kristus Juruselamat","Pastoran Katolik Kristus Juruselamat, Jl Kotaraja Dalam, Cigombong,","Kotaraja.","0967-582254","","","","-",""
"010.023","010",23,"Skamto","Sang Penabur","Pastrn Katolik Sang Penabur, Skamto d/a Kantor Keusk. Jayapura, Jl Kesehatan No.6 Ktk Pos 1379,","Jayapura","","","","","-",""
"010.024","010",24,"Taja","St. Clara","Pastrn Katolik St Clara, Taja-Bonggo, d/a Pastrn Katolik Sang Penebus, Tromol Pos 2,","Sentani","0967-591332","","","","-",""
"010.025","010",25,"Waena","Kristus Terang Dunia","Pastoran Katolik Kristus Terang Dunia, Jl Proyek, Yabansai-Heram,","Waena","","","","","-",""
"010.026","010",26,"Welesi","St. Paulus","Pastoran St. Paulus, Welesi, d/a Dknt Jayawijaya, Jl Jawa, Ktk Pos 125,","Wamena.","","","","","-",""
"010.027","010",27,"Yuruf","Bunda Allah","Pastoran Katolik Bunda Allah, Amgotro-Yuruf, Via AMA Sentani, Tromol Pos 2,","Sentani","","","","","-",""
"011.001","011",1,"Balai Berkuak","St. Martinus","Pastoran Katolik Balai Berkuak Kec.Simpang Hulu, d/a keusk.Ketapang, Jl A>Yani 74, Ktk Pos 175, Ketapang 78811","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.002","011",2,"Balai Semandang","St. Yohanes Rasul","Pastrn Katolik Balai Semandang, Kec.Simpang Hulu d/a Keusk.Ketapang Jl A.Yani 74 Ktk Pos 175, Ketapang 78811","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.003","011",3,"Kendawangan","St. Stefanus","Pastrn Katolik Kendawangan, Kec.Kendawangan d/a Kesuk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.004","011",4,"Ketapang","St. Gemma Galgani","Pastrn Katolik Ketapang, Kab.Ketapang d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32769","0534-31008","","","-",""
"011.005","011",5,"Marau","Kanak-kanak Yesus","Pastrn Katolik Marau, Kab.Ketapang, d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.006","011",6,"Menyumbung","Salib Suci","Pastrn Katolik Menyumbung, Kec.Menyumbung Kab.Ketapang, d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.007","011",7,"Nanga Tayap","St. Petrus Dan Paulus","Pastrn Katolik Nanga Tayap, Kec.Nanga Tayap Kab.Ketapang, d/a Keusk.Ketapang Jl A.Yani 74, Ktk Pos 175 Ketapang 78811","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.008","011",8,"Randau","Hati Kudus Tuhan Yesus","Pastrn Katolik Randau, Kec.Sandai, Kab.Ketapang, d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.009","011",9,"Sandai","St. Gabriel","Pastrn Katolik Sandai, Kec.Sandai, Kab.Ketapang, d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.010","011",10,"Sepotong","Keluarga Kudus","Pastrn Katolik Sepotong, Kec.Sungai Laur, Kab.Ketapang d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.011","011",11,"Serengkah","St. Yoseph","Pastrn Katolik Serengkah, Kec.Tumbang Titi, Kab.Ketapang d/a Keusk.Ketapang Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.012","011",12,"Simpang Dua","St. Mikhael","Pastrn Katolik Simpang Dua, Kec.Simpang Dua, Kab.Ketapang, d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.013","011",13,"Sukadana","Emmanuel","Pastrn Katolik Sukadana, Kec.Sukadana, Kab.Ketapang d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.014","011",14,"Tanjung","St. Maria Assumpta (maria Diangkat Ke Surga)","Pastrn Katolik Tanjung, Kec.Jelai Hulu, Kab.Ketapang, d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.015","011",15,"Tembelina","St. Carolus Borromeus","Pastrn Katolik Tembelina, Kec.Tumbang Titi, Kab.Ketapang d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.016","011",16,"Tumbang Titi","St. Paulus Rasul","Pastrn Katolik Tumbang Titi, Kec.Tumbang Titi d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"011.017","011",17,"Air Upas","Maria Ratu Pencinta Damai","Pastrn Katolik Tumbang Titi, Kec.Tumbang Titi d/a Keusk.Ketapang, Jl A.Yani 74, Ktk Pos 175, Ketapang 78811,","Ketapang, Kal-Bar.","0534-32181","0534-31008","","","-",""
"012.001","012",1,"BAA / P. Rote","St. Kristoforus","Pastoran Katolik Baa-Rote, Via Keusk. Agung Kupang","Kupang","0380-871079","","","","-",""
"012.002","012",2,"Bonipoi / Katedral","Kristus Raja","Jl Ir. Soekarno No.1,","Kupang","0380-822158","0380-822158","","","-",""
"012.003","012",3,"Buraen","St. Yohanes Pemandi","Pastoran Katolik Buraen, via Keuskupan Agung Kupang,","Kupang","","","","","-",""
"012.004","012",4,"Camplong","St. Helena","Pastoran Katolik Camplong, via Keuskupan Agung Kupang,","Kupang","0380-850031","","","","RD. Anselmus Leu",""
"012.005","012",5,"Kalabahi","Gembala Baik","Pastoran Katolik Gembala Baik, Jl Jend. Sudirman, Lipa-Kalabahi 85812,","Alor","0386-21228","","","","-",""
"012.006","012",6,"Kapan","St. Maria Immaculata","Pastoran Katolik Kapan, via Keusk.Agung Kupang,","Kupang","","","","","-",""
"012.007","012",7,"Kotabaru / Kupang","St. Maria Assumpta","Pastoran Katolik St Maria Assumpta, Jl Perintis Kemerdekaan, Walikota Baru,","Kupang-Timor","0380-831870","","","","-",""
"012.008","012",8,"Naikliu","St. Stephanus","Pastoran Katolik St Stephanus, Naikliu, via Keusk.Agung Kupang,","Kupang","","","","","-",""
"012.009","012",9,"Naikoten","St. Joseph","Jl E.R. Herewila No.33,","Naikoten II","0380-821881","","","","-",""
"012.010","012",10,"Niki-niki","St. Arnoldus-Josef (Aryos)","Pastoran Katolik Niki-Niki, via Keusk.Agung Kupang,","Kupang","0388-81218","","","","-",""
"012.011","012",11,"Noelmina","St. Maria Bunda Orang Miskin","Pastoran Katolik Noelmina, via Keusk. Agung Kupang,","Kupang","","","","","-",""
"012.012","012",12,"Oeekam","Hati Tersuci Maria","Pastoran Katolik Oeekam, via Keuskupan Agung Kupang,","Kupang","","","","","-",""
"012.013","012",13,"Oeleta","St. Gregorius Agung","Pastoran Katolik Oeleta, via Keuskupan Agung Kupang,","Kupang","0380-838600","","","","-",""
"012.014","012",14,"Oinlasi","St. Paulus","Pastoran Katolik Oinlasi, via Keuskupan Agung Kupang,","Kupang","","","","","-",""
"012.015","012",15,"Panite","St. Theresia Dari Kanak-kanak Yesus","Pastoran Katolik Panite, via Keuskupan Agung Kupang,","Kupang","","","","","-",""
"012.016","012",16,"Penfui","St. Yoseph Pekerja","Pastoran Katolik St Yoseph Pekerja, Penfui, Jl Adisucipto Penfui,","Kupang-Timor","0380-881165","","","","-",""
"012.017","012",17,"Putain","St. Columba","Pastoran Katolik Putain, via Keuskupan Agung Kupang,","Kupang","","","","","-",""
"012.018","012",18,"Sikumana","St. Familia","Pastoran Katolik St. Familia Sikumana, Jl H.R.Koroh, Sikumana,","Kupang","0380-822937","","","","-",""
"012.019","012",19,"Soe","St. Maria Dolorosa","Pastoran Katolik Soe, Jl Tompello No.7, Soe,","T T S","0388-21135","","","","Dagobertus Sota Ringgi, SVD",""
"012.020","012",20,"Sulamu","St. Petrus","Pastoran Katolik Sulamu, via Keuskupan Agung Kupang,","Kupang","","","","","-",""
"012.021","012",21,"Benlutu","St. Vincentius","Pastoran Katolik Benlutu, via Keusk.Agung Kupang,","Kupang","","","","","-",""
"012.022","012",22,"Sabu","St. Paulus","Pastoran Katolik Sabu, via Keuskupan Agung Kupang,","Kupang","0380-861293","","","","-",""
"013.001","013",1,"Aliuroba / Lambata","St. Maria Pembantu Abadi","Pastoran Katolik Aliuroba, Lembata,","Flores Timur-NTT","","","","","-",""
"013.002","013",2,"Bama-Lewokluo/Flores Timur","St. Maria Diangkat Ke Surga","Pastoran Katolik Bama-Lewokluo, Larantuka,","Flores Timur-NTT","","","","","-",""
"013.003","013",3,"Baniona / Adonara","St. Maria Hati Tak Bernoda","Pastoran Katolik Baniona, Adonara,","Flores Timur-NTT","","","","","-",""
"013.004","013",4,"Belogili-Leworahang/Flores Timur","St. Herman Josef","Pastoran Katolik Belogili, Tanjung Bunga,","Flores Timur-NTT","","","","","-",""
"013.005","013",5,"Boto-kluang / Lembata","St. Josef","Pastoran Katolik Boto, Lembata,","Flores Timur-NTT","","","","","-",""
"013.006","013",6,"Hadakewa","St. Laurensius","Pastoran Katolik Hadakewa, Lembata,","Flores Timur-NTT","","","","","-",""
"013.007","013",7,"Hinga / Adonara","St. Martinus","Pastoran Katolik Hinga, Adonara,","Flores Timur-NTT.","","","","","-",""
"013.008","013",8,"Hoeleaq / Lembata","Salib Suci","Pastoran Katolik Hoeleaq, Kedang, Lembata,","Flores Timur-NTT","","","","","-",""
"013.009","013",9,"Hokeng / Flores Timur","Maria Ratu Semesta Alam","Pastoran Katolik Hokeng, Wulanggitang,","Flores Timur-NTT","","","","","-",""
"013.010","013",10,"Kalikasa / Lembata","St. Antonius","Pastoran Katolik Kalikasa, Atedei, Lembata,","Flores Timur-NTT","","","","","-",""
"013.011","013",11,"Kalike / Solor","St. Mikhael","Pastoran Katolik Kalike, Solor,","Flores Timur-NTT","","","","","-",""
"013.012","013",12,"Kiwangona / Adonara","Sta. Theresia Dari Kanak-kanak Yesus","Pastoran Katolik Kiwangona, Adonara,","Flores Timur-NTT","","","","","-",""
"013.013","013",13,"Koli-Sagu / Adonara","St. Tarcisius","Pastoran Katolik Sagu, Adonara,","Flores Timur-NTT","","","","","-",""
"013.014","013",14,"Lamalera / Lembata","St. Petrus Dan Paulus","Pastoran Katolik Lamalera, Lembata,","Flores Timur-NTT","","","","","-",""
"013.015","013",15,"Larantuka / Katedral","Ratu Rosario Tersuci (Reinha Rosari)","Pastoran Katedral Reinha Rosari, Larantuka 86213,","Flores Timur-NTT","0383-21180,  21829","","","","-",""
"013.016","013",16,"Lebao / Flores Timur","St. Johannes Pembaptis","Pastoran Katolik San Juan, Lebao Tengah, Larantuka,","Flores Timur-NTT","0383-21314,  21329","","","","-",""
"013.017","013",17,"Lerek / Lembata","Hati Amat Kudus","Pastoran Katolik Lerek, Lembata,","Flores Timur-NTT","","","","","-",""
"013.018","013",18,"Lewolaga / Flores Timur","St. Maria Tak Bernoda Asal","Pastoran Katolik Lewolaga, Wulanggitang, Larantuka,","Flores Timur-NTT","","","","","-",""
"013.019","013",19,"Lewoleba / Lembata","St. Maria Banneux","Pastoran Katolik Lewoleba, Lembata,","Flores Timur-NTT","0383-41135","","","","-",""
"013.020","013",20,"Lewotobi / Flores Timur","St. Josef","Pastoran Katolik Lewotobi, Nurabelen, Wulanggitang, Larantuka,","Flores Timur-NTT","","","","","-",""
"013.021","013",21,"Lite / Adonara","St. Josef","Pastoran Katolik Lite, Adonara Barat, Larantuka,","Flores Timur-NTT","","","","","-",""
"013.022","013",22,"Menanga / Solor","St. Fransiskus Xaverius","Pastoran Katolik Menanga, Solor,","Flores Timur-NTT","","","","","-",""
"013.023","013",23,"Mingar / Lembata","St. Maria Ratu Damai","Pastoran Katolik Mingar, Lembata,","Flores Timur-NTT","","","","","-",""
"013.024","013",24,"Pamakayo / P. Solor","Kunjungan St. Perawan Maria","Pastoran Katolik Pamakayo, Larantuka,","Flores Timur-NTT","","","","","-",""
"013.025","013",25,"Pukaona / Adonara","St. Bernadeth Soubirous","Pastoran Katolik Pukaona, Tanah Boleng Adonara,","Flores Timur-NTT","","","","","-",""
"013.026","013",26,"Riangkemie / Flores Timur","St. Josef","Pastoran Katolik Riangkemie, Larantuka,","Flores Timur-NTT","","","","","-",""
"013.027","013",27,"Ritaebang / P. Solor","St. Johannes Pembaptis","Pastoran Katolik Ritaebang, Solor,","Flores Timur-NTT","","","","","-",""
"013.028","013",28,"Tanah Boleng / Adonara","St. Joseph","Pastoran Katolik Tanah Boleng, Adonara,","Flores Timur-NTT","","","","","-",""
"013.029","013",29,"Tokojaeng / Lembata","St. Bernardus Abbas","Pastoran Katolik Toko Jaeng, IIeape, Lembata,","Flores Timur-NTT","","","","","-",""
"013.030","013",30,"Waipukang / Lembata","St. Maria Bintang Laut","Pastoran Katolik Waipukang, Lembata,","Flores Timur-NTT","","","","","-",""
"013.031","013",31,"Waibalun / Flores Timur","St. Ignatius","Pastoran Katolik Waibalun, Larantuka,","Flores Timur-NTT","","","","","-",""
"013.032","013",32,"Waiklibang / Flores Timur","St. Ludovikus","Pastoran Katolik Waiklibang, Tanjung Bunga,","Flores Timur-NTT","","","","","-",""
"013.033","013",33,"Waikomo / Lembata","St. Arnoldus Janssen","Pastoran Katolik Waikomo, Lebatukan,","Lembata, NTT","","","","","-",""
"013.034","013",34,"Waiwadan / Adonara","St. Maria Goretti","Pastoran Katolik Waiwadan, Adonara,","Flores Timur-NTT","","","","","-",""
"013.035","013",35,"Waiwerang / Adonara","Kristus Raja","Pastoran Katolik Waiwerang, Adonara,","Flores Timur-NTT","","","","","-",""
"013.036","013",36,"Witihama / Adonara","St. Maria Pembantu Abadi","Pastoran Katolik Witihama, Adonara,","Flores Timur-NTT","","","","","-",""
"013.037","013",37,"Lamahora / Lembata","St. Fransiskus Asisi","Pastoran Katolik Lamahora, d/a Dekenat Lembata,","Flores Timur-NTT","0383-41049","","","","-",""
"013.038","013",38,"Lato / Flores Timur","St. Perawan Maria La Salete","Pastoran Katolik Lato,","Flores Timur-NTT","","","","","-",""
"013.039","013",39,"Lambunga / Adonara","St. Werenfried","Pastoran Katolik Lambunga, Adonara,","Flores Timur-NTT","","","","","-",""
"013.040","013",40,"Ledobelolong / Lembata","St. Wilhelmus","Pastoran Katolik Ledobelolong, Lembata,","Flores Timur-NTT","","","","","-",""
"013.041","013",41,"Lewotala / Flores Timur","St. Alfonsus de Ligouri","Pastoran Katolik Lewotala,","Flores Timur-NTT","","","","","-",""
"013.042","013",42,"Riangpuho / Flores Timur","St. Darius","Pastoran Katolik Riangpuho, Tanjung Bunga, Larantuka,","Flores Timur-NTT","","","","","-",""
"013.043","013",43,"Wangatoa / Lembata","Kristus Raja","Pastoran Katolik Wangatoa, d/a Dekenat Lembata","Flores Timur-NTT","0383-41049","","","","-",""
"013.044","013",44,"Watobuku","Kristus Raja Semesta Alam","Pastoran Katolik Watobuku, Hokeng,","Flores Timur-NTT","","","","","-",""
"013.045","013",45,"Weri","St. Maria Pembantu Abadi","Pastoran Katolik Weri,","Flores Timur-NTT","0383-2325046","","","","-",""
"014.001","014",1,"Andalas","Kristus Raja","Jl Andalas No.61,","Makassar","0411-317457","","","","-",""
"014.002","014",2,"Bantaeng","Siti Fatima","Jl Raya Lanto No.45, ","Bantaeng, Sul-Sel.","0413-21368","","","","-",""
"014.003","014",3,"Bau-Bau","St. Paulus","Pastoran Katolik Bau-Bau, Jl A.Yani No.10, Bau-Bau,","Buton, Sul-Tra.","0402-2821530","","","","-",""
"014.004","014",4,"Bone-Bone","St. Martinus","Pastoran Katolik Bone-Bone, Jl Diponegoro, Kec.Bone-Bone 92966,","Kab.Luwu Utara, Sul-Sel.","","","","","-",""
"014.005","014",5,"Deri","Renya Rosari","via Pastoran Katolik Rantepao, Jl Monginsidi No.37, Rantepao,","Tator, Sul-Sel.","","","","","-",""
"014.006","014",6,"Getengan","St. Paulus","via Pastoran Katolik Makale, Jl Musa No.17-19, Makale 91811,","Tator, Sul-Sel.","0423-22631","","","","-",""
"014.007","014",7,"Gotong-Gotong","St. Yoseph","Jl G. Latimojong No.112,","Makassar, Sul-Sel.","0411-323587","","","","-",""
"014.008","014",8,"Kare","Maria Ratu Rosari","Jl Perintis Kemerdekaan No.28, Km 10,","Makassar, Sul-Sel.","","","","","-",""
"014.009","014",9,"Katedral","Hati Yesus Yang Maha Kudus","Jl Kajaolalido No.14,","Makassar, Sul-Sel.","0411-315745, 323647","","","","-",""
"014.010","014",10,"Kolaka","St. Clemens","Jl Pahlawan No.67,","Kolaka, Sul-Tenggara.","0405-21438","","","","-",""
"014.011","014",11,"Labasa","St. Mikael","Gereja Katolik Labasa, Kelurahan Lawama, Kec.Tongkuno 93662,","Kab.Muna, Sul-Tenggara.","","","","","-",""
"014.012","014",12,"Lamasi","St. Yoseph","Gereja Katolik Lamasi, Kec.Lamasi, Jl Poros Lamasi 565, Wiwitan,","Kab.Luwu, Sul-Sel.","","","","","-",""
"014.013","014",13,"Makale","Hati Maria Tak Bernoda","Jl Musa No.17-19, Makale 91811","Tator, Sul-Sel.","0423-22044","","","","-",""
"014.014","014",14,"Mamajang","St. Perawan Maria Diangkat Ke Surga","Jl Tupai No.1,","Makassar, Sul-Sel.","0411-854809","","","","-",""
"014.015","014",15,"Mamasa","St. Petrus","Gereja Katolik Mamasa Randanan, Desa Buntu Buda, Kec.Mamasa,","Kab.Mamasa, Sul-Bar.","","","","","-",""
"014.016","014",16,"Mamuju","St. Maria","Gereja Katolik Mamuju, Jl Bau Massepe No.14,","Mamuju, Sulbar.","0426-21232","","","","-",""
"014.017","014",17,"Mangkutana","St. Petrus","Gereja Katolik Mangkutana, Jl Trans Sulawesi Maleku, Mangkutana 91973,","Kab.Luwu Utara, Sul-Sel.","","","","","-",""
"014.018","014",18,"Mariso","St. Yakobus","Jl Gagak No.21,","Makassar, Sul-Sel.","0411-873532","","","","-",""
"014.019","014",19,"Messawa","St. Fransiskus","Gereja Katolik Messawa, Jl Poros Mamasa Km 36, Kec. Messawa,","Kab.Mamasa, Sul-Bar.","","","","","-",""
"014.020","014",20,"Nonongan","Kristus Raja","Via Gereja Katolik Rantepao, Jl onginsidi No.37, Rantepao 91831,","Tator, Sul-Sel","0423-23109","","","","-",""
"014.021","014",21,"Palopo","St. Mikael","Jl Kartini No.62,","Palopo, Sul-Sel.","0471-21985","","","","-",""
"014.022","014",22,"Panakukang","St. Fransiskus Assisi","Jl Hertasning No.102,","Makassar, Sul-Sel.","0411-885234","","","","-",""
"014.023","014",23,"Pare-pare","St. Petrus Rasul","Jl Veteran No.24,","Pare-Pare, Sul-Sel.","0421-21690","","","","-",""
"014.024","014",24,"Polewali","St. Yoseph","Jl Amanna Pattola Bo.2, Kotak Pos 16,","Polewali, Sul-Bar.","0428-21720","","","","-",""
"014.025","014",25,"Raha","St. Yohanes Pemandi","Jl Sudirman No.8, Raha,","Muna, Sul-Tenggara.","0403-22017","","","","-",""
"014.026","014",26,"Rantepao","St. Theresia","Jl Monginsidi No.37, Rantepao 91831,","Tator, Sul-Sel.","0423-21056,  23840","","","","-",""
"014.027","014",27,"Rantetayo","St. Paulus","via Gereja Katolik Makale, Jl Musa No.17-19, Makale,","Tator, Sul-Sel.","0423-24450","","","","-",""
"014.028","014",28,"Rembon","St. Antonius","via Gereja Katolik Makale, Jl Musa No.17-19, Makale 91811,","Tator, Sul-Sel.","","","","","-",""
"014.029","014",29,"Saluampak","Siti Maryam","Gereja Katolik Saluampak, Desa Pongko, Kec.Lamasi,","Kab.Luwu, Sul-sel.","","","","","-",""
"014.030","014",30,"Sangalla","Kristus Imam Agung Abadi","via Gereja Katolik Makale, Jl Musa No.17-19, Makale 91811,","Tator, Sul-Sel.","0423-22774","","","","-",""
"014.031","014",31,"Soppeng","St. Perawan Maria Bunda Pengharapan Suci","Jl Samudera No.48,","Watansoppeng, Sul-Sel.","0484-21362","","","","-",""
"014.032","014",32,"Sorowako","Maria Immaculata","Jl Hasanuddin No.1-3, Sorowako 91984,","Luwu Timur, Sul-Sel.","0475-321512","","","","-",""
"014.033","014",33,"Sungguminasa","Simon Petrus Gembala Yang Baik","Jl Mangka Dg.Bombong No.34, Sungguminasa 92111,","Kab.Gowa, Sul-Sel","0411-866230","","","","-",""
"014.034","014",34,"Tello","St. Paulus","via Guest House CICM, Jl Pelanduk No.72,","Makassar, Sul-Sel.","0411-830691","","","","-",""
"014.035","014",35,"Unaaha","Roh Kudus","Gereja Katolik Unaaha, Desa Sendang Mulyasari, Tromol Pos 1,","Unaaha, Sul-Tenggara.","0408-21711","","","","-",""
"014.036","014",36,"Baras","St. Yusuf Pekerja","Via Gereja Katolik Mamuju, Jl Bau Massepe No.14,","Mamuju, Sul-Bar.","","","","","-",""
"014.037","014",37,"Mandai","Bunda Maria","Jl Dakota No.1, Lanud Hasanuddin Mandai,","Maros, Sul-Sel.","0411-4813479","","","","-",""
"014.038","014",38,"Mandonga","St. Clemens","Jl Saranani No.1-2, Mandonga,","Kendari, Sul-Tenggara","0401-327521","","","","-",""
"014.039","014",39,"Nanggala","St. Petrus","Via Gereja Katolik Rantepao, Jl Monginsidi 37, Rantepao,","Tator, Sul-Sel.","0423-21056","","","","-",""
"014.040","014",40,"Padang Sappa","St. Petrus","Gereja Katolik Padang Sappa, Jl Jend.Sudirman No.33, Dusun Padang Cendrana, Kel.Padang Sappa, Kec.Ponrang,","Kab. Luwu.","","","","","-",""
"014.041","014",41,"Pangli","St. Petrus","via Gereja Katolik Rantepao, Jl Monginsidi No.37, Rantepao 91831,","Tator, Sul-Sel","","","","","-",""
"014.042","014",42,"Sadohoa","St. Fransiskus Xaverius","Jl Dr.Moh.Hatta No.63A, Kotak Pos 1,","Kendari, Sultra.","0401-321868","","","","-",""
"014.043","014",43,"Tombanglambe","St. Maria","via Gereja Katolik Rantepao, Jl Monginsidi No.37, Rantepao 91831,","Tator, Sul-Sel.","","","","","-",""
"015.001","015",1,"Ambulu","St. Paulus","Jl Candradimuka No.4, Ambulu,","Ambulu","0336-882233","-","-","parokist.paulus@yahoo.co.id","Rm. Fransiskus Eli Heri Harianto, O. Carm",""
"015.002","015",2,"Bangkalan / Madura","Maria Dari Fatima","Jl Letnan Mestu No.13, PO Box 13,","Bangkalan","031-3095289","","","","-",""
"015.003","015",3,"Banyuwangi","Maria Ratu Damai","Jl J.A.Suprapto No.35,","Banyuwangi","0333-424693","0333-417377","","","-",""
"015.004","015",4,"Batu","Gembala Baik","Jl Ridwan No.16,","Batu","0341-592326","","","","-",""
"015.005","015",5,"Bondowoso","St. Yohannes Pengarang Injil","Jl Jend. A.Yani No.20","Bondowoso","0332-421538","0332-429993","","","-",""
"015.006","015",6,"Curahjati","Maria Ratu Para Rasul","Pastoran Maria Ratu Para Rasul Curahjati, Kotak Pos 206, Purwoharjo,","Banyuwangi","0333-7721547","0333-5599055","","","-",""
"015.007","015",7,"Genteng","Kristus Raja","Jl Hasanudin No.73, Genteng 68465,","Banyuwangi","0333-845645","","","","-",""
"015.008","015",8,"Jember","St. Yusup","Jl R.A.Kartini No.26,","Jember","0331-488943,  486478","0331-425732","","","-",""
"015.009","015",9,"Lawang","St. Perawan Maria Tak Bernoda","Jl Argopuro No.28,","Lawang","0341-426627","","","","-",""
"015.010","015",10,"Lodalem","Maria Annunciata","Jl Trisula No.57, Desa Arjowillangun, Kalipare 65166,","Malang Selatan","0341-379629","","","","-",""
"015.011","015",11,"Lumajang","Maria Ratu Damai","Jl Yos Sudarso No.42,","Lumajang","0334-881462","","","parada@telkom.net","-",""
"015.012","015",12,"Malang / Blimbing","St. Albertus de Trapani","Jl Jend. A.Yani No.22,","Malang","0341-491842","0341-411270","","","-",""
"015.013","015",13,"Malang / Celaket","Maria Diangkat Ke Surga","Jl Lely No.17,","Malang","0341-493280","","","bmv_assumtionis@telkom.net","-",""
"015.014","015",14,"Malang / Katedral","St. Perawan Maria Dari Gunung Karmel","Jl Buring No.60,","Malang","0341-362454","","","","-",""
"015.015","015",15,"Malang / Kayutangan","Hati Kudus Yesus","Jl Mgr. Sugijopranoto No.2,","Malang","0341-323938,  364351","0341-353267","","","-",""
"015.016","015",16,"Malang / Kepanjen","St. Perawan Maria Tak Bernoda","Jl Punten No.8,","Kepanjen","0341-395577","","","","-",""
"015.017","015",17,"Malang / Kesatrian","Ratu Rosari","Jl Plongkowati No.2,","Malang","0341-366371","0341-331511","","","-",""
"015.018","015",18,"Malang / Langsep","St. St. Vincentius A Paulo","Jl Ananas No.41,","Malang","0341-561336","","","","-",""
"015.019","015",19,"Malang / Tidar","St. Andreas","Pastrn. Jl Puncak Esberg 22,  Gereja: Jl Mahameru  ","Malang","Pastrn: 0341-555611/2,  Gereja: 0341-561765","","","","-",""
"015.020","015",20,"Malang / Janti","St. Yohanes Pemandi","Jl Keben II Surya Timur No. 9-10","Malang","0341-800441","","","","-",""
"015.021","015",21,"Pamekasan / Madura","Maria Ratu Para Rasul","Jl Jokotole No.2,","Pamekasan","0324-322836","0324-331675","","","-",""
"015.022","015",22,"Pandaan","St. Theresia","Jl A.Yani No.70","Pandaan","0343-631141","","","","-",""
"015.023","015",23,"Pasuruan","St. Antonius","Jl Balai Kota No.1,","Pasuruan","0343-424740","","","","-",""
"015.024","015",24,"Probolinggo","St. Maria Bunda Karmel","Jl Suroyo No.5,","Probolinggo","0335-423004, 421087","0335-428237","","","-",""
"015.025","015",25,"Purworejo / Malang Selatan","Permaisuri Damai","Jl Trisula, Purworejo, Donomulyo,","Malang Selatan","0341-881133","","","","-",""
"015.026","015",26,"Situbondo","Maria Bintang Samodra","Jl Mawar No.50,","Situbondo","0338-677460,  671801","","","","-",""
"015.027","015",27,"Sumenep / Madura","Maria Gunung Karmel","Jl Slamet Riyadi No.33,","Sumenep","0328-662836","","","","-",""
